Inflation_Rate,Date,Policy_Rate,Current_Account_Percent_GDP,GDP_Growth,Government_Debt_Percent_GDP,Government_Spending_Percent_GDP,Trade_Balance,Inflation_Rate_lag1,Inflation_Rate_lag3,Inflation_Rate_lag6,Inflation_Rate_lag12,Policy_Rate_lag1,Policy_Rate_lag3,Policy_Rate_lag6,Policy_Rate_lag12,Current_Account_Percent_GDP_lag1,Current_Account_Percent_GDP_lag3,Current_Account_Percent_GDP_lag6,Current_Account_Percent_GDP_lag12,GDP_Growth_lag1,GDP_Growth_lag3,GDP_Growth_lag6,GDP_Growth_lag12,Government_Debt_Percent_GDP_lag1,Government_Debt_Percent_GDP_lag3,Government_Debt_Percent_GDP_lag6,Government_Debt_Percent_GDP_lag12,Government_Spending_Percent_GDP_lag1,Government_Spending_Percent_GDP_lag3,Government_Spending_Percent_GDP_lag6,Government_Spending_Percent_GDP_lag12,Trade_Balance_lag1,Trade_Balance_lag3,Trade_Balance_lag6,Trade_Balance_lag12,Inflation_Rate_ma3,Inflation_Rate_ma6,Inflation_Rate_ma12,Policy_Rate_ma3,Policy_Rate_ma6,Policy_Rate_ma12,Current_Account_Percent_GDP_ma3,Current_Account_Percent_GDP_ma6,Current_Account_Percent_GDP_ma12,GDP_Growth_ma3,GDP_Growth_ma6,GDP_Growth_ma12,Government_Debt_Percent_GDP_ma3,Government_Debt_Percent_GDP_ma6,Government_Debt_Percent_GDP_ma12,Government_Spending_Percent_GDP_ma3,Government_Spending_Percent_GDP_ma6,Government_Spending_Percent_GDP_ma12,Trade_Balance_ma3,Trade_Balance_ma6,Trade_Balance_ma12,Inflation_Rate_vol6,Inflation_Rate_vol12,Policy_Rate_vol6,Policy_Rate_vol12,Current_Account_Percent_GDP_vol6,Current_Account_Percent_GDP_vol12,GDP_Growth_vol6,GDP_Growth_vol12,Government_Debt_Percent_GDP_vol6,Government_Debt_Percent_GDP_vol12,Government_Spending_Percent_GDP_vol6,Government_Spending_Percent_GDP_vol12,Trade_Balance_vol6,Trade_Balance_vol12,Inflation_Rate_pct_change1,Inflation_Rate_pct_change3,Inflation_Rate_pct_change12,Policy_Rate_pct_change1,Policy_Rate_pct_change3,Policy_Rate_pct_change12,Current_Account_Percent_GDP_pct_change1,Current_Account_Percent_GDP_pct_change3,Current_Account_Percent_GDP_pct_change12,GDP_Growth_pct_change1,GDP_Growth_pct_change3,GDP_Growth_pct_change12,Government_Debt_Percent_GDP_pct_change1,Government_Debt_Percent_GDP_pct_change3,Government_Debt_Percent_GDP_pct_change12,Government_Spending_Percent_GDP_pct_change1,Government_Spending_Percent_GDP_pct_change3,Government_Spending_Percent_GDP_pct_change12,Trade_Balance_pct_change1,Trade_Balance_pct_change3,Trade_Balance_pct_change12,Inflation_Rate_target
4.6,2005-01-01,8.5,-2.66382240513017,6.24174804376447,90.6049131149854,20.1959652345785,-2179492537.31343,4.6,4.6,4.6,4.6,8.5,8.5,8.5,8.5,-2.66382240513017,-2.66382240513017,-2.66382240513017,-2.66382240513017,6.24174804376447,6.24174804376447,6.24174804376447,6.24174804376447,90.6049131149854,90.6049131149854,90.6049131149854,90.6049131149854,20.1959652345785,20.1959652345785,20.1959652345785,20.1959652345785,-2179492537.31343,-2179492537.31343,-2179492537.31343,-2179492537.31343,4.6,4.6,4.6,8.5,8.5,8.5,-4.09788880740339,-4.030106980692266,-3.882107010386207,6.9022886879241065,6.368638938706851,6.266900301065292,88.0996047284808,84.10162470507385,76.98772501865264,20.463465230535732,19.64357582527305,17.46809967096985,-2882300009.85009,-3280207536.5637364,-3556526364.0446315,0.0,0.0,0.0,0.0,3.199256878953389,2.5598242768178725,1.5990480517674097,1.7800054259579565,7.607326179572924,9.23766781707157,1.7787181856514207,2.672751977472585,1191814136.7217033,1432929072.8960829,0.0,0.0,0.0,0.0,0.0,0.0,0.9894073062501136,2.582519392027943,-0.08148367986049487,0.2285487730860658,-0.04672727847719982,0.03507562710926404,-0.021030084653845926,-0.061922648273290526,-0.18864599462557574,0.047126292026985706,-0.04873123881529806,-0.24089379589134252,0.42720424109539934,1.5566146339541929,1.8975580294348897,4.6
4.6,2006-01-01,8.5,-5.29942775531871,7.66829190107919,88.6994841221229,21.1477261899901,-3110580992.6895,4.6,4.6,4.6,4.6,8.5,8.5,8.5,8.5,-2.66382240513017,-2.66382240513017,-2.66382240513017,-2.66382240513017,6.24174804376447,6.24174804376447,6.24174804376447,6.24174804376447,90.6049131149854,90.6049131149854,90.6049131149854,90.6049131149854,20.1959652345785,20.1959652345785,20.1959652345785,20.1959652345785,-2179492537.31343,-2179492537.31343,-2179492537.31343,-2179492537.31343,4.6,4.6,4.6,8.5,8.5,8.5,-4.09788880740339,-4.030106980692266,-3.882107010386207,6.9022886879241065,6.368638938706851,6.266900301065292,88.0996047284808,84.10162470507385,76.98772501865264,20.463465230535732,19.64357582527305,17.46809967096985,-2882300009.85009,-3280207536.5637364,-3556526364.0446315,0.0,0.0,0.0,0.0,3.199256878953389,2.5598242768178725,1.5990480517674097,1.7800054259579565,7.607326179572924,9.23766781707157,1.7787181856514207,2.672751977472585,1191814136.7217033,1432929072.8960829,0.0,0.0,0.0,0.0,0.0,0.0,0.9894073062501136,2.582519392027943,-0.08148367986049487,0.2285487730860658,-0.04672727847719982,0.03507562710926404,-0.021030084653845926,-0.061922648273290526,-0.18864599462557574,0.047126292026985706,-0.04873123881529806,-0.24089379589134252,0.42720424109539934,1.5566146339541929,1.8975580294348897,4.6
4.6,2007-01-01,8.5,-4.33041626176129,6.79682611892866,84.9944169483341,20.0467042670386,-3356826499.54734,4.6,4.6,4.6,4.6,8.5,8.5,8.5,8.5,-5.29942775531871,-2.66382240513017,-2.66382240513017,-2.66382240513017,7.66829190107919,6.24174804376447,6.24174804376447,6.24174804376447,88.6994841221229,90.6049131149854,90.6049131149854,90.6049131149854,21.1477261899901,20.1959652345785,20.1959652345785,20.1959652345785,-3110580992.6895,-2179492537.31343,-2179492537.31343,-2179492537.31343,4.6,4.6,4.6,8.5,8.5,8.5,-4.09788880740339,-4.030106980692266,-3.882107010386207,6.9022886879241065,6.368638938706851,6.266900301065292,88.0996047284808,84.10162470507385,76.98772501865264,20.463465230535732,19.64357582527305,17.46809967096985,-2882300009.85009,-3280207536.5637364,-3556526364.0446315,0.0,0.0,0.0,0.0,3.199256878953389,2.5598242768178725,1.5990480517674097,1.7800054259579565,7.607326179572924,9.23766781707157,1.7787181856514207,2.672751977472585,1191814136.7217033,1432929072.8960829,0.0,0.0,0.0,0.0,0.0,0.0,-0.18285209994322182,2.582519392027943,-0.08148367986049487,-0.11364535849605373,-0.04672727847719982,0.03507562710926404,-0.04177101152795426,-0.061922648273290526,-0.18864599462557574,-0.052063371402673475,-0.04873123881529806,-0.24089379589134252,0.07916383062732235,1.5566146339541929,1.8975580294348897,4.6
4.6,2008-01-01,8.5,-9.54319542329735,5.95008814473897,84.9944169483341,19.2117908296268,-5572122515.48947,4.6,4.6,4.6,4.6,8.5,8.5,8.5,8.5,-4.33041626176129,-2.66382240513017,-2.66382240513017,-2.66382240513017,6.79682611892866,6.24174804376447,6.24174804376447,6.24174804376447,84.9944169483341,90.6049131149854,90.6049131149854,90.6049131149854,20.0467042670386,20.1959652345785,20.1959652345785,20.1959652345785,-3356826499.54734,-2179492537.31343,-2179492537.31343,-2179492537.31343,4.6,4.6,4.6,8.5,8.5,8.5,-6.39101314679245,-4.030106980692266,-3.882107010386207,6.805068721582273,6.368638938706851,6.266900301065292,86.22943933959704,84.10162470507385,76.98772501865264,20.13540709555183,19.64357582527305,17.46809967096985,-4013176669.2421036,-3280207536.5637364,-3556526364.0446315,0.0,0.0,0.0,0.0,3.199256878953389,2.5598242768178725,1.5990480517674097,1.7800054259579565,7.607326179572924,9.23766781707157,1.7787181856514207,2.672751977472585,1191814136.7217033,1432929072.8960829,0.0,0.0,0.0,0.0,0.0,0.0,1.2037593724109774,2.582519392027943,-0.08148367986049487,-0.12457843696068482,-0.04672727847719982,0.03507562710926404,0.0,-0.061922648273290526,-0.18864599462557574,-0.041648413938274564,-0.04873123881529806,-0.24089379589134252,0.6599375976806836,1.5566146339541929,1.8975580294348897,4.6
4.6,2009-01-01,8.5,-0.510385718302903,3.53891205317842,86.063491912486,20.9584196862527,-2731111337.17134,4.6,4.6,4.6,4.6,8.5,8.5,8.5,8.5,-9.54319542329735,-5.29942775531871,-2.66382240513017,-2.66382240513017,5.95008814473897,7.66829190107919,6.24174804376447,6.24174804376447,84.9944169483341,88.6994841221229,90.6049131149854,90.6049131149854,19.2117908296268,21.1477261899901,20.1959652345785,20.1959652345785,-5572122515.48947,-3110580992.6895,-2179492537.31343,-2179492537.31343,4.6,4.6,4.6,8.5,8.5,8.5,-4.794665801120515,-4.030106980692266,-3.882107010386207,5.428608772282016,6.368638938706851,6.266900301065292,85.35077526971808,84.10162470507385,76.98772501865264,20.07230492763937,19.64357582527305,17.46809967096985,-3886686784.0693836,-3280207536.5637364,-3556526364.0446315,0.0,0.0,0.0,0.0,3.199256878953389,2.5598242768178725,1.5990480517674097,1.7800054259579565,7.607326179572924,9.23766781707157,1.7787181856514207,2.672751977472585,1191814136.7217033,1432929072.8960829,0.0,0.0,0.0,0.0,0.0,0.0,-0.9465183624913598,-0.9036904092539689,-0.08148367986049487,-0.40523367602419413,-0.5385006075889762,0.03507562710926404,0.012578178691451614,-0.029718236083623895,-0.18864599462557574,0.09091442188369014,-0.008951624493180876,-0.24089379589134252,-0.5098615779571688,-0.12199317632622042,1.8975580294348897,4.6
4.6,2010-01-01,8.5,-1.83339432034317,8.01596737055139,69.2530251841806,16.3008487441516,-2731111337.17134,4.6,4.6,4.6,4.6,8.5,8.5,8.5,8.5,-0.510385718302903,-4.33041626176129,-2.66382240513017,-2.66382240513017,3.53891205317842,6.79682611892866,6.24174804376447,6.24174804376447,86.063491912486,84.9944169483341,90.6049131149854,90.6049131149854,20.9584196862527,20.0467042670386,20.1959652345785,20.1959652345785,-2731111337.17134,-3356826499.54734,-2179492537.31343,-2179492537.31343,4.6,4.6,4.6,8.5,8.5,8.5,-3.962325153981142,-4.030106980692266,-3.882107010386207,5.834989189489593,6.368638938706851,6.266900301065292,80.1036446816669,84.10162470507385,76.98772501865264,18.823686420010368,19.64357582527305,17.46809967096985,-3678115063.2773833,-3280207536.5637364,-3556526364.0446315,0.0,0.0,0.0,0.0,3.199256878953389,2.5598242768178725,1.5990480517674097,1.7800054259579565,7.607326179572924,9.23766781707157,1.7787181856514207,2.672751977472585,1191814136.7217033,1432929072.8960829,0.0,0.0,0.0,0.0,0.0,0.0,2.5921740256358223,-0.5766239988214246,-0.08148367986049487,1.2650936926652276,0.1793691982538015,0.03507562710926404,-0.19532633820388312,-0.1852050090975068,-0.18864599462557574,-0.22222910943787189,-0.18685642652224121,-0.24089379589134252,0.0,-0.18640080518322177,1.8975580294348897,4.6
4.6,2011-01-01,8.5,-6.81209765536977,8.6694830119314,68.5257394056158,15.5785036231068,-2731111337.17134,4.6,4.6,4.6,4.6,8.5,8.5,8.5,8.5,-1.83339432034317,-9.54319542329735,-2.66382240513017,-2.66382240513017,8.01596737055139,5.95008814473897,6.24174804376447,6.24174804376447,69.2530251841806,84.9944169483341,90.6049131149854,90.6049131149854,16.3008487441516,19.2117908296268,20.1959652345785,20.1959652345785,-2731111337.17134,-5572122515.48947,-2179492537.31343,-2179492537.31343,4.6,4.6,4.6,8.5,8.5,8.5,-3.051959231338614,-4.721486189065533,-3.882107010386207,6.741454145220403,6.773261433401338,6.266900301065292,74.6140855007608,80.42176242017892,76.98772501865264,17.6125906845037,18.873998890027767,17.46809967096985,-2731111337.17134,-3372144003.206722,-3556526364.0446315,0.0,0.0,0.0,0.0,3.2918362717972935,2.5598242768178725,1.8482553573628429,1.7800054259579565,9.03796638759747,9.23766781707157,2.386854746882525,2.672751977472585,1108271079.2643006,1432929072.8960829,0.0,0.0,0.0,0.0,0.0,0.0,2.715566029513334,-0.28618273510990677,-0.08148367986049487,0.08152673422559809,0.4570343835320996,0.03507562710926404,-0.010501862938558482,-0.19376187441498882,-0.18864599462557574,-0.04431334419344046,-0.18911757049306677,-0.24089379589134252,0.0,-0.5098615779571688,1.8975580294348897,4.6
4.6,2012-01-01,8.5,-5.69099818625964,8.63218137662685,66.747235367113,15.0683571124812,-2731111337.17134,4.6,4.6,4.6,4.6,8.5,8.5,8.5,8.5,-6.81209765536977,-0.510385718302903,-5.29942775531871,-2.66382240513017,8.6694830119314,3.53891205317842,7.66829190107919,6.24174804376447,68.5257394056158,86.063491912486,88.6994841221229,90.6049131149854,15.5785036231068,20.9584196862527,21.1477261899901,20.1959652345785,-2731111337.17134,-2731111337.17134,-3110580992.6895,-2179492537.31343,4.6,4.6,4.6,8.5,8.5,8.5,-4.77883005399086,-4.7867479275556875,-3.882107010386207,8.43921058636988,6.933909679325949,6.266900301065292,68.1753333189698,76.76305429434395,76.98772501865264,15.649236493246534,17.86077071044295,17.46809967096985,-2731111337.17134,-3308899060.6203613,-3556526364.0446315,0.0,0.0,0.0,0.0,3.3094202722905144,2.5598242768178725,1.978883321160711,1.7800054259579565,9.450707113931735,9.23766781707157,2.515498493522246,2.672751977472585,1136647004.0910127,1432929072.8960829,0.0,0.0,0.0,0.0,0.0,0.0,-0.16457477943323384,10.15038681956644,-0.08148367986049487,-0.004302636645485469,1.4392189596443878,0.03507562710926404,-0.025953810260630816,-0.2244419336948913,-0.18864599462557574,-0.032746823633877487,-0.2810356249156982,-0.24089379589134252,0.0,0.0,1.8975580294348897,4.6
4.6,2013-01-01,8.5,-3.3004682319038,4.05174633027869,68.3536165599981,14.1567195342154,-2731111337.17134,4.6,4.6,4.6,4.6,8.5,8.5,8.5,8.5,-5.69099818625964,-1.83339432034317,-4.33041626176129,-2.66382240513017,8.63218137662685,8.01596737055139,6.79682611892866,6.24174804376447,66.747235367113,69.2530251841806,84.9944169483341,90.6049131149854,15.0683571124812,16.3008487441516,20.0467042670386,20.1959652345785,-2731111337.17134,-2731111337.17134,-3356826499.54734,-2179492537.31343,4.6,4.6,4.6,8.5,8.5,8.5,-5.267854691177736,-4.615089922579439,-3.882107010386207,7.117803572945647,6.4763963812176195,6.266900301065292,67.8755304442423,73.98958756295461,76.98772501865264,14.934526756601132,16.87910658830575,17.46809967096985,-2731111337.17134,-3204613200.2243614,-3556526364.0446315,0.0,0.0,0.0,0.0,3.3640839054251583,2.5598242768178725,2.3070352903336606,1.7800054259579565,8.982092522037327,9.23766781707157,2.6381192643501485,2.672751977472585,1159837956.7371016,1432929072.8960829,0.0,0.0,0.0,0.0,0.0,0.0,-0.42005459782565757,0.800195514561225,-0.08148367986049487,-0.5306231236927543,-0.49454056597538465,0.03507562710926404,0.02406663263354547,-0.012987282819638457,-0.18864599462557574,-0.06050013093402773,-0.13153482027771524,-0.24089379589134252,0.0,0.0,1.8975580294348897,4.6
4.6,2014-01-01,8.5,-2.40840557987842,6.3779788972687,68.5910423357715,14.203291823048,-2731111337.17134,4.6,4.6,4.6,4.6,8.5,8.5,8.5,8.5,-3.3004682319038,-6.81209765536977,-9.54319542329735,-2.66382240513017,4.05174633027869,8.6694830119314,5.95008814473897,6.24174804376447,68.3536165599981,68.5257394056158,84.9944169483341,90.6049131149854,14.1567195342154,15.5785036231068,19.2117908296268,20.1959652345785,-2731111337.17134,-2731111337.17134,-5572122515.48947,-2179492537.31343,4.6,4.6,4.6,8.5,8.5,8.5,-3.79995733268062,-3.425958282009617,-3.882107010386207,6.35396886805808,6.547711506639241,6.266900301065292,67.89729808762753,71.25569179419416,76.98772501865264,14.476122823248199,16.04435675387595,17.46809967096985,-2731111337.17134,-2731111337.17134,-3556526364.0446315,0.0,0.0,0.0,0.0,2.395175577037849,2.5598242768178725,2.294089349301929,1.7800054259579565,7.301819426610687,9.23766781707157,2.543072607553988,2.672751977472585,0.0,1432929072.8960829,0.0,0.0,0.0,0.0,0.0,0.0,-0.2702836656333498,-0.6464516949518557,-0.08148367986049487,0.5741308505930096,-0.26431842723597365,0.03507562710926404,0.003473492519082688,0.0009529693619090285,-0.18864599462557574,0.003289765592942473,-0.08827624483901131,-0.24089379589134252,0.0,0.0,1.8975580294348897,4.6
